Group,Subgroup,AUC,Recall,Precision,F1,FPR,FNR
Overall,All,0.829,0.159,0.564,0.249,0.02,0.841
Sex,F,0.84,0.164,0.565,0.254,0.019,0.836
Sex,M,0.815,0.155,0.563,0.243,0.021,0.845
Age,18-44,0.863,0.043,0.625,0.081,0.001,0.957
Age,45-64,0.829,0.173,0.571,0.266,0.02,0.827
Age,65+,0.763,0.163,0.557,0.252,0.033,0.837
Income,Low,0.788,0.241,0.564,0.337,0.055,0.759
Income,Middle,0.812,0.133,0.563,0.215,0.017,0.867
Income,High,0.839,0.068,0.577,0.121,0.004,0.932
Education,HS or less,0.793,0.197,0.556,0.291,0.037,0.803
Education,Some college,0.822,0.168,0.571,0.26,0.022,0.832
Education,College grad,0.846,0.098,0.578,0.167,0.008,0.902
